iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","OpenAPI 3 specification","root GET","GET","http://localhost:8000/","OK","200","21","5005",,,,"0","0","0","0"
"1","OpenAPI 3 specification","root HEAD","HEAD","http://localhost:8000/","OK","200","11","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","root OPTIONS","OPTIONS","http://localhost:8000/","OK","200","6","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","{certificate uid} GET","GET","http://localhost:8000/<string>?format=<string>","NOT FOUND","404","3","28",,,,"0","0","0","0"
"1","OpenAPI 3 specification","{certificate uid} HEAD","HEAD","http://localhost:8000/<string>?format=<string>","NOT FOUND","404","7","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","{certificate uid} OPTIONS","OPTIONS","http://localhost:8000/<string>?format=<string>","OK","200","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","bitcoinkeys GET","GET","http://localhost:8000/bitcoinkeys","OK","200","4","6163",,,,"0","0","0","0"
"1","OpenAPI 3 specification","bitcoinkeys HEAD","HEAD","http://localhost:8000/bitcoinkeys","OK","200","9","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","bitcoinkeys OPTIONS","OPTIONS","http://localhost:8000/bitcoinkeys","OK","200","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","certificate_{certificate uid} GET","GET","http://localhost:8000/certificate/<string>","NOT FOUND","404","3","28",,,,"0","0","0","0"
"1","OpenAPI 3 specification","certificate_{certificate uid} HEAD","HEAD","http://localhost:8000/certificate/<string>","NOT FOUND","404","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","certificate_{certificate uid} OPTIONS","OPTIONS","http://localhost:8000/certificate/<string>","OK","200","2","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","faq GET","GET","http://localhost:8000/faq","OK","200","7","3490",,,,"0","0","0","0"
"1","OpenAPI 3 specification","faq HEAD","HEAD","http://localhost:8000/faq","OK","200","4","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","faq OPTIONS","OPTIONS","http://localhost:8000/faq","OK","200","5","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","intro POST","POST","http://localhost:8000/intro/","INTERNAL SERVER ERROR","500","4","97",,,,"0","0","0","0"
"1","OpenAPI 3 specification","Theme Asset","GET","http://localhost:8000/_themes/<string>/<string>","NOT FOUND","404","3","24",,,,"0","0","0","0"
"1","OpenAPI 3 specification","Theme Asset","HEAD","http://localhost:8000/_themes/<string>/<string>","NOT FOUND","404","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","Theme Asset","OPTIONS","http://localhost:8000/_themes/<string>/<string>","OK","200","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","Static Content","GET","http://localhost:8000/static/<string>","NOT FOUND","404","6","24",,,,"0","0","0","0"
"1","OpenAPI 3 specification","Static Content","HEAD","http://localhost:8000/static/<string>","NOT FOUND","404","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","Static Content","OPTIONS","http://localhost:8000/static/<string>","OK","200","2","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","issuer_{issuer file} GET","GET","http://localhost:8000/issuer/<string>","NOT FOUND","404","5","24",,,,"0","0","0","0"
"1","OpenAPI 3 specification","issuer_{issuer file} HEAD","HEAD","http://localhost:8000/issuer/<string>","NOT FOUND","404","5","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","issuer_{issuer file} OPTIONS","OPTIONS","http://localhost:8000/issuer/<string>","OK","200","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","request GET","GET","http://localhost:8000/request","OK","200","7","6809",,,,"0","0","0","0"
"1","OpenAPI 3 specification","request POST","POST","http://localhost:8000/request","OK","200","5","7449",,,,"0","0","0","0"
"1","OpenAPI 3 specification","spec GET","GET","http://localhost:8000/spec","INTERNAL SERVER ERROR","500","3","273",,,,"0","0","0","0"
"1","OpenAPI 3 specification","spec HEAD","HEAD","http://localhost:8000/spec","INTERNAL SERVER ERROR","500","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","spec OPTIONS","OPTIONS","http://localhost:8000/spec","OK","200","4","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","verify_{certificate uid} GET","GET","http://localhost:8000/verify/<string>","NOT FOUND","404","2","28",,,,"0","0","0","0"
"1","OpenAPI 3 specification","verify_{certificate uid} HEAD","HEAD","http://localhost:8000/verify/<string>","NOT FOUND","404","3","0",,,,"0","0","0","0"
"1","OpenAPI 3 specification","verify_{certificate uid} OPTIONS","OPTIONS","http://localhost:8000/verify/<string>","OK","200","7","0",,,,"0","0","0","0"
